long,long,long,float,float,
221,221,1,0.504000008106,0.777999997139,
222,221,2,0.693000018597,0.293000012636,
223,222,1,0.5,0.801999986172,
224,222,2,0.704999983311,0.347000002861,
225,222,3,0.307000011206,0.344999998808,
226,223,1,0.500999987125,0.140000000596,
227,223,2,0.698000013828,0.799000024796,
228,223,3,0.303000003099,0.799000024796,
229,223,4,0.5,0.57800000906,
230,224,1,0.652999997139,0.712000012398,
231,225,1,0.347999989986,0.759999990463,
232,225,2,0.652000010014,0.759999990463,
233,226,1,0.508000016212,0.680999994278,
234,226,2,0.662999987602,0.709999978542,
235,227,1,0.5,0.229000002146,
236,227,4,0.5,0.601000010967,
237,228,1,0.504999995232,0.386999994516,
238,228,2,0.504999995232,0.563000023365,
242,249,1,0.5,0.550000011921,
