long,long,float,float,float,float,float,float,None,None,float,float,float,float,float,float,None,None,bool,
101,241,0.534391999245,0.652557015419,0.0,0.0,0.0,0.0,,,0.376237988472,0.196040004492,0.0,0.0,0.0,0.0,,,0,
102,241,0.679012000561,0.525573015213,0.0,0.0,0.0,0.0,,,0.223762005568,0.25148499012,0.0,0.0,0.0,0.0,,,1,
123,285,0.571429014206,0.439152985811,0.0,0.0,0.0,0.0,,,0.384157985449,0.423761993647,0.0,0.0,0.0,0.0,,,0,
124,285,0.439152985811,0.574955999851,0.0,0.0,0.0,0.0,,,0.417822003365,0.362376004457,0.0,0.0,0.0,0.0,,,1,
143,301,0.749558985233,0.768958985806,0.779541015625,0.744268000126,0.768958985806,0.0,,,0.300989985466,0.40000000596,0.522772014141,0.621782004833,0.704950988293,0.0,,,0,
144,301,0.779541015625,0.740741014481,0.693122029305,0.663138985634,0.675485014915,0.0,,,0.706930994987,0.631682991982,0.524752020836,0.394059002399,0.285149008036,0.0,,,1,
145,292,0.708994984627,0.627866029739,0.514990985394,0.380952000618,0.0,0.0,,,0.419802010059,0.485148996115,0.596040010452,0.481187999249,0.0,0.0,,,0,
146,292,0.349206000566,0.419752985239,0.506173014641,0.640211999416,0.680776000023,0.0,,,0.352474987507,0.520792007446,0.605940997601,0.508911013603,0.419802010059,0.0,,,1,
147,295,0.687830984592,0.61728399992,0.536154985428,0.414462000132,0.285714000463,0.215167999268,,,0.540593981743,0.607921004295,0.699010014534,0.788119018078,0.833662986755,0.792078971863,,,0,
148,295,0.213403999805,0.342151999474,0.432099014521,0.578482985497,0.643738985062,0.0,,,0.724752008915,0.706930994987,0.623762011528,0.594058990479,0.435644000769,0.0,,,1,
163,302,0.366842985153,0.474427014589,0.550265014172,0.638447999954,0.0,0.0,,,0.566336989403,0.631682991982,0.685149013996,0.734652996063,0.0,0.0,,,0,
164,302,0.719577014446,0.680776000023,0.622574985027,0.52381002903,0.458553999662,0.366842985153,,,0.774257004261,0.798020005226,0.786139011383,0.681187987328,0.619801998138,0.564356029034,,,1,
165,967,0.444444000721,0.38271600008,0.356260985136,0.294533014297,0.211640000343,0.176366999745,,,0.386139005423,0.526732981205,0.665346980095,0.736634016037,0.726733028889,0.677227973938,,,0,
166,967,0.192239999771,0.275132000446,0.356260985136,0.409170985222,0.534391999245,0.0,,,0.700990021229,0.730692982674,0.683167994022,0.514851987362,0.362376004457,0.0,,,1,
167,965,0.650794029236,0.608466029167,0.507937014103,0.0,0.0,0.0,,,0.338613986969,0.522772014141,0.663366019726,0.0,0.0,0.0,,,0,
168,965,0.446208000183,0.414462000132,0.509700000286,0.636684000492,0.0,0.0,,,0.671287000179,0.526732981205,0.350495010614,0.291088998318,0.0,0.0,,,1,
170,737,0.717813014984,0.0,0.0,0.0,0.0,0.0,,,0.683167994022,0.0,0.0,0.0,0.0,0.0,,,0,
171,964,0.675485014915,0.0,0.0,0.0,0.0,0.0,,,0.435644000769,0.0,0.0,0.0,0.0,0.0,,,0,
172,964,0.629630029202,0.682539999485,0.0,0.0,0.0,0.0,,,0.576237976551,0.433663010597,0.0,0.0,0.0,0.0,,,1,
173,712,0.398588985205,0.356260985136,0.319223999977,0.0,0.0,0.0,,,0.657425999641,0.506931006908,0.463366001844,0.0,0.0,0.0,,,0,
174,712,0.262787014246,0.312168985605,0.0,0.0,0.0,0.0,,,0.558416008949,0.704949975014,0.0,0.0,0.0,0.0,,,1,
175,737,0.700176000595,0.756614029408,0.0,0.0,0.0,0.0,,,0.714851021767,0.671287000179,0.0,0.0,0.0,0.0,,,0,
176,737,0.703703999519,0.659611999989,0.0,0.0,0.0,0.0,,,0.600000023842,0.659406006336,0.0,0.0,0.0,0.0,,,1,
178,810,0.435626000166,0.363315999508,0.342151999474,0.0,0.0,0.0,,,0.665346980095,0.548515021801,0.382178008556,0.0,0.0,0.0,,,0,
179,810,0.37742498517,0.4567900002,0.0,0.0,0.0,0.0,,,0.413861006498,0.639603972435,0.0,0.0,0.0,0.0,,,1,
180,964,0.744268000126,0.650794029236,0.656085014343,0.0,0.0,0.0,,,0.421781986952,0.473266988993,0.605940997601,0.0,0.0,0.0,,,0,
181,964,0.649030029774,0.67195802927,0.663138985634,0.0,0.0,0.0,,,0.629702985287,0.578217983246,0.433663010597,0.0,0.0,0.0,,,1,
